english_command,korean_command,intent,target_type,attribute,spatial_relation,spatial_reference,position,jsonl,split
scroll down to menu to the left of the search,search 왼편에  menu,scroll,menu,NONE,left_of,search,NONE,"{""text"": ""scroll down to menu to the left of the search"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""menu"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""search"", ""position"": ""NONE""}}",train
scroll to text,스크롤하여 텍스트 이동,scroll,text,NONE,NONE,NONE,NONE,"{""text"": ""scroll to text"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",test
remove image next to the home,홈 옆에 이미지 삭제,delete,image,NONE,next_to,home,NONE,"{""text"": ""remove image next to the home"", ""labels"": {""intent"": ""delete"", ""target_type"": ""image"", ""attribute"": ""NONE"", ""spatial_relation"": ""next_to"", ""spatial_reference"": ""home"", ""position"": ""NONE""}}",train
press and hold button to the left of the checkout,결제 왼쪽에 버튼 길게 누르기,long-press,button,NONE,left_of,checkout,NONE,"{""text"": ""press and hold button to the left of the checkout"", ""labels"": {""intent"": ""long-press"", ""target_type"": ""button"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""checkout"", ""position"": ""NONE""}}",train
paste orange text above the first email,첫 번째 이메일 위에 주황색 텍스트 붙여넣기,paste,text,orange,above,first email,NONE,"{""text"": ""paste orange text above the first email"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""orange"", ""spatial_relation"": ""above"", ""spatial_reference"": ""first email"", ""position"": ""NONE""}}",test
remove orange button below the cart,장바구니 아래에 주황색 버튼 삭제,delete,button,orange,below,cart,NONE,"{""text"": ""remove orange button below the cart"", ""labels"": {""intent"": ""delete"", ""target_type"": ""button"", ""attribute"": ""orange"", ""spatial_relation"": ""below"", ""spatial_reference"": ""cart"", ""position"": ""NONE""}}",train
copy black text,검정색 텍스트 복사,copy,text,black,NONE,NONE,NONE,"{""text"": ""copy black text"", ""labels"": {""intent"": ""copy"", ""target_type"": ""text"", ""attribute"": ""black"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
tap on final blue check box under the menu,메뉴 하단에 마지막 파란색 체크박스 press,click,checkbox,blue,below,menu,last,"{""text"": ""tap on final blue check box under the menu"", ""labels"": {""intent"": ""click"", ""target_type"": ""checkbox"", ""attribute"": ""blue"", ""spatial_relation"": ""below"", ""spatial_reference"": ""menu"", ""position"": ""last""}}",train
click on gray image,회색 이미지 클릭,click,image,gray,NONE,NONE,NONE,"{""text"": ""click on gray image"", ""labels"": {""intent"": ""click"", ""target_type"": ""image"", ""attribute"": ""gray"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
scroll down to white menu,아래로 스크롤하여 흰색 메뉴 이동,scroll,menu,white,NONE,NONE,NONE,"{""text"": ""scroll down to white menu"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""menu"", ""attribute"": ""white"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",test
paste the last text,마지막 텍스트 붙여넣기,paste,text,NONE,NONE,NONE,last,"{""text"": ""paste the last text"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""last""}}",train
copy text,텍스트 복사,copy,text,NONE,NONE,NONE,NONE,"{""text"": ""copy text"", ""labels"": {""intent"": ""copy"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
press the last blue tab to the left of the payment,결제 왼쪽에 마지막 파란색 탭 press,click,tab,blue,left_of,payment,last,"{""text"": ""press the last blue tab to the left of the payment"", ""labels"": {""intent"": ""click"", ""target_type"": ""tab"", ""attribute"": ""blue"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""payment"", ""position"": ""last""}}",train
touch 2nd check box on top of the menu,메뉴 상단에 2번째 체크박스 탭,tap,checkbox,NONE,above,menu,2nd,"{""text"": ""touch 2nd check box on top of the menu"", ""labels"": {""intent"": ""tap"", ""target_type"": ""checkbox"", ""attribute"": ""NONE"", ""spatial_relation"": ""above"", ""spatial_reference"": ""menu"", ""position"": ""2nd""}}",train
paste green text below the settings,설정 아래에 녹색 텍스트 붙여넣기,paste,text,green,below,settings,NONE,"{""text"": ""paste green text below the settings"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""green"", ""spatial_relation"": ""below"", ""spatial_reference"": ""settings"", ""position"": ""NONE""}}",test
scroll down to tab to the left of the home,홈 왼쪽에 아래로 스크롤하여 탭 이동,scroll,tab,NONE,left_of,home,NONE,"{""text"": ""scroll down to tab to the left of the home"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""tab"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""home"", ""position"": ""NONE""}}",val
press and hold image to the left of the notifications,알림 왼쪽에 이미지 길게 누르기,long-press,image,NONE,left_of,notifications,NONE,"{""text"": ""press and hold image to the left of the notifications"", ""labels"": {""intent"": ""long-press"", ""target_type"": ""image"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""notifications"", ""position"": ""NONE""}}",train
long-press pink symbol left of the first email,첫 번째 이메일 좌측에 분홍색 아이콘 long-press,long-press,icon,pink,left_of,first email,NONE,"{""text"": ""long-press pink symbol left of the first email"", ""labels"": {""intent"": ""long-press"", ""target_type"": ""icon"", ""attribute"": ""pink"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""first email"", ""position"": ""NONE""}}",train
click on text above the settings,settings 위에  text,click,text,NONE,above,settings,NONE,"{""text"": ""click on text above the settings"", ""labels"": {""intent"": ""click"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""above"", ""spatial_reference"": ""settings"", ""position"": ""NONE""}}",val
scroll to menu above the wi-fi,Wi-Fi 위에 스크롤하여 메뉴 이동,scroll,menu,NONE,above,wi-fi,NONE,"{""text"": ""scroll to menu above the wi-fi"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""menu"", ""attribute"": ""NONE"", ""spatial_relation"": ""above"", ""spatial_reference"": ""wi-fi"", ""position"": ""NONE""}}",train
copy the 1st orange text next to the checkout,결제 옆에 1번째 주황색 텍스트 복사,copy,text,orange,next_to,checkout,1st,"{""text"": ""copy the 1st orange text next to the checkout"", ""labels"": {""intent"": ""copy"", ""target_type"": ""text"", ""attribute"": ""orange"", ""spatial_relation"": ""next_to"", ""spatial_reference"": ""checkout"", ""position"": ""1st""}}",train
tap the 2nd link above the cart,장바구니 위에 2번째 링크 탭,tap,link,NONE,above,cart,2nd,"{""text"": ""tap the 2nd link above the cart"", ""labels"": {""intent"": ""tap"", ""target_type"": ""link"", ""attribute"": ""NONE"", ""spatial_relation"": ""above"", ""spatial_reference"": ""cart"", ""position"": ""2nd""}}",train
press and hold icon below the address,주소 아래에 아이콘 길게 누르기,long-press,icon,NONE,below,address,NONE,"{""text"": ""press and hold icon below the address"", ""labels"": {""intent"": ""long-press"", ""target_type"": ""icon"", ""attribute"": ""NONE"", ""spatial_relation"": ""below"", ""spatial_reference"": ""address"", ""position"": ""NONE""}}",train
tap on hyperlink left of the help,도움말 좌측에 링크 클릭,click,link,NONE,left_of,help,NONE,"{""text"": ""tap on hyperlink left of the help"", ""labels"": {""intent"": ""click"", ""target_type"": ""link"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""help"", ""position"": ""NONE""}}",train
trash text below the wi-fi,Wi-Fi 아래에 텍스트 삭제,delete,text,NONE,below,wi-fi,NONE,"{""text"": ""trash text below the wi-fi"", ""labels"": {""intent"": ""delete"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""below"", ""spatial_reference"": ""wi-fi"", ""position"": ""NONE""}}",train
tap on the 3rd checkbox,3번째 체크박스 탭,tap,checkbox,NONE,NONE,NONE,3rd,"{""text"": ""tap on the 3rd checkbox"", ""labels"": {""intent"": ""tap"", ""target_type"": ""checkbox"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""3rd""}}",train
scroll down to text to the left of the profile,프로필 왼쪽에 아래로 스크롤하여 텍스트 이동,scroll,text,NONE,left_of,profile,NONE,"{""text"": ""scroll down to text to the left of the profile"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""profile"", ""position"": ""NONE""}}",train
scroll down to the last menu to the left of the checkout,결제 왼쪽에 아래로 스크롤하여 마지막 메뉴 이동,scroll,menu,NONE,left_of,checkout,last,"{""text"": ""scroll down to the last menu to the left of the checkout"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""menu"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""checkout"", ""position"": ""last""}}",train
long-press white button to the left of the last item,마지막 항목 왼쪽에 흰색 버튼 long-press,long-press,button,white,left_of,last item,NONE,"{""text"": ""long-press white button to the left of the last item"", ""labels"": {""intent"": ""long-press"", ""target_type"": ""button"", ""attribute"": ""white"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""last item"", ""position"": ""NONE""}}",test
copy the last text next to the checkout,결제 옆에 마지막 텍스트 복사,copy,text,NONE,next_to,checkout,last,"{""text"": ""copy the last text next to the checkout"", ""labels"": {""intent"": ""copy"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""next_to"", ""spatial_reference"": ""checkout"", ""position"": ""last""}}",train
insert black label under the last item,마지막 항목 하단에 검정색 텍스트 붙여넣기,paste,text,black,below,last item,NONE,"{""text"": ""insert black label under the last item"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""black"", ""spatial_relation"": ""below"", ""spatial_reference"": ""last item"", ""position"": ""NONE""}}",train
tap link below the cart,장바구니 아래에 링크 탭,tap,link,NONE,below,cart,NONE,"{""text"": ""tap link below the cart"", ""labels"": {""intent"": ""tap"", ""target_type"": ""link"", ""attribute"": ""NONE"", ""spatial_relation"": ""below"", ""spatial_reference"": ""cart"", ""position"": ""NONE""}}",train
long-press text to the left of the help,도움말 왼쪽에 텍스트 long-press,long-press,text,NONE,left_of,help,NONE,"{""text"": ""long-press text to the left of the help"", ""labels"": {""intent"": ""long-press"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""help"", ""position"": ""NONE""}}",train
navigate to label on top of the menu,메뉴 상단에 아래로 스크롤하여 텍스트 이동,scroll,text,NONE,above,menu,NONE,"{""text"": ""navigate to label on top of the menu"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""above"", ""spatial_reference"": ""menu"", ""position"": ""NONE""}}",train
select white switch above the checkout,결제 위에 흰색 스위치 선택,click,switch,white,above,checkout,NONE,"{""text"": ""select white switch above the checkout"", ""labels"": {""intent"": ""click"", ""target_type"": ""switch"", ""attribute"": ""white"", ""spatial_relation"": ""above"", ""spatial_reference"": ""checkout"", ""position"": ""NONE""}}",train
long-press button,버튼 long-press,long-press,button,NONE,NONE,NONE,NONE,"{""text"": ""long-press button"", ""labels"": {""intent"": ""long-press"", ""target_type"": ""button"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
open menu,메뉴 열기,open,menu,NONE,NONE,NONE,NONE,"{""text"": ""open menu"", ""labels"": {""intent"": ""open"", ""target_type"": ""menu"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
scroll to tab below the last item,마지막 항목 아래에 스크롤하여 탭 이동,scroll,tab,NONE,below,last item,NONE,"{""text"": ""scroll to tab below the last item"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""tab"", ""attribute"": ""NONE"", ""spatial_relation"": ""below"", ""spatial_reference"": ""last item"", ""position"": ""NONE""}}",test
copy blue text next to the profile,프로필 옆에 파란색 텍스트 복사,copy,text,blue,next_to,profile,NONE,"{""text"": ""copy blue text next to the profile"", ""labels"": {""intent"": ""copy"", ""target_type"": ""text"", ""attribute"": ""blue"", ""spatial_relation"": ""next_to"", ""spatial_reference"": ""profile"", ""position"": ""NONE""}}",train
tap on checkbox next to the wi-fi,Wi-Fi 옆에 체크박스 탭,tap,checkbox,NONE,next_to,wi-fi,NONE,"{""text"": ""tap on checkbox next to the wi-fi"", ""labels"": {""intent"": ""tap"", ""target_type"": ""checkbox"", ""attribute"": ""NONE"", ""spatial_relation"": ""next_to"", ""spatial_reference"": ""wi-fi"", ""position"": ""NONE""}}",train
tap icon,아이콘 탭,tap,icon,NONE,NONE,NONE,NONE,"{""text"": ""tap icon"", ""labels"": {""intent"": ""tap"", ""target_type"": ""icon"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
scroll down to blue tab,아래로 스크롤하여 파란색 탭 이동,scroll,tab,blue,NONE,NONE,NONE,"{""text"": ""scroll down to blue tab"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""tab"", ""attribute"": ""blue"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",test
paste purple text element directly above the settings,settings 위에 purple text,paste,text,purple,above,settings,NONE,"{""text"": ""paste purple text element directly above the settings"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""purple"", ""spatial_relation"": ""above"", ""spatial_reference"": ""settings"", ""position"": ""NONE""}}",test
touch toggle under the menu,메뉴 하단에 스위치 탭,tap,switch,NONE,below,menu,NONE,"{""text"": ""touch toggle under the menu"", ""labels"": {""intent"": ""tap"", ""target_type"": ""switch"", ""attribute"": ""NONE"", ""spatial_relation"": ""below"", ""spatial_reference"": ""menu"", ""position"": ""NONE""}}",val
erase gray action button on the left side of the wi-fi,wi-fi 좌측에 gray button,delete,button,gray,left_of,wi-fi,NONE,"{""text"": ""erase gray action button on the left side of the wi-fi"", ""labels"": {""intent"": ""delete"", ""target_type"": ""button"", ""attribute"": ""gray"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""wi-fi"", ""position"": ""NONE""}}",train
press the last checkbox,마지막 체크박스 press,click,checkbox,NONE,NONE,NONE,last,"{""text"": ""press the last checkbox"", ""labels"": {""intent"": ""click"", ""target_type"": ""checkbox"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""last""}}",train
delete button to the left of the help,도움말 왼쪽에 버튼 삭제,delete,button,NONE,left_of,help,NONE,"{""text"": ""delete button to the left of the help"", ""labels"": {""intent"": ""delete"", ""target_type"": ""button"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""help"", ""position"": ""NONE""}}",test
launch gray link,회색 링크 실행,open,link,gray,NONE,NONE,NONE,"{""text"": ""launch gray link"", ""labels"": {""intent"": ""open"", ""target_type"": ""link"", ""attribute"": ""gray"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
delete pink text above the settings,설정 위에 분홍색 텍스트 삭제,delete,text,pink,above,settings,NONE,"{""text"": ""delete pink text above the settings"", ""labels"": {""intent"": ""delete"", ""target_type"": ""text"", ""attribute"": ""pink"", ""spatial_relation"": ""above"", ""spatial_reference"": ""settings"", ""position"": ""NONE""}}",train
place text field beneath the search,search 아래쪽에  text,paste,text,NONE,below,search,NONE,"{""text"": ""place text field beneath the search"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""below"", ""spatial_reference"": ""search"", ""position"": ""NONE""}}",test
long-press text next to the last item,마지막 항목 옆에 텍스트 long-press,long-press,text,NONE,next_to,last item,NONE,"{""text"": ""long-press text next to the last item"", ""labels"": {""intent"": ""long-press"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""next_to"", ""spatial_reference"": ""last item"", ""position"": ""NONE""}}",train
tap icon,아이콘 탭,tap,icon,NONE,NONE,NONE,NONE,"{""text"": ""tap icon"", ""labels"": {""intent"": ""tap"", ""target_type"": ""icon"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
open pink link above the first email,첫 번째 이메일 위에 분홍색 링크 열기,open,link,pink,above,first email,NONE,"{""text"": ""open pink link above the first email"", ""labels"": {""intent"": ""open"", ""target_type"": ""link"", ""attribute"": ""pink"", ""spatial_relation"": ""above"", ""spatial_reference"": ""first email"", ""position"": ""NONE""}}",train
paste the 2nd text to the right of the last item,마지막 항목 오른쪽에 2번째 텍스트 붙여넣기,paste,text,NONE,right_of,last item,2nd,"{""text"": ""paste the 2nd text to the right of the last item"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""right_of"", ""spatial_reference"": ""last item"", ""position"": ""2nd""}}",train
paste text next to the cart,장바구니 옆에 텍스트 붙여넣기,paste,text,NONE,next_to,cart,NONE,"{""text"": ""paste text next to the cart"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""next_to"", ""spatial_reference"": ""cart"", ""position"": ""NONE""}}",train
scroll to the 3rd menu next to the search,검색 옆에 스크롤하여 3번째 메뉴 이동,scroll,menu,NONE,next_to,search,3rd,"{""text"": ""scroll to the 3rd menu next to the search"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""menu"", ""attribute"": ""NONE"", ""spatial_relation"": ""next_to"", ""spatial_reference"": ""search"", ""position"": ""3rd""}}",train
long-press image to the right of the wi-fi,Wi-Fi 오른쪽에 이미지 long-press,long-press,image,NONE,right_of,wi-fi,NONE,"{""text"": ""long-press image to the right of the wi-fi"", ""labels"": {""intent"": ""long-press"", ""target_type"": ""image"", ""attribute"": ""NONE"", ""spatial_relation"": ""right_of"", ""spatial_reference"": ""wi-fi"", ""position"": ""NONE""}}",train
copy the last text to the left of the notifications,알림 왼쪽에 마지막 텍스트 복사,copy,text,NONE,left_of,notifications,last,"{""text"": ""copy the last text to the left of the notifications"", ""labels"": {""intent"": ""copy"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""notifications"", ""position"": ""last""}}",train
place red text field beneath the login,login 아래쪽에 red text,paste,text,red,below,login,NONE,"{""text"": ""place red text field beneath the login"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""red"", ""spatial_relation"": ""below"", ""spatial_reference"": ""login"", ""position"": ""NONE""}}",val
scroll to tab to the left of the wi-fi,Wi-Fi 왼쪽에 스크롤하여 탭 이동,scroll,tab,NONE,left_of,wi-fi,NONE,"{""text"": ""scroll to tab to the left of the wi-fi"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""tab"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""wi-fi"", ""position"": ""NONE""}}",train
copy text above the search,검색 위에 텍스트 복사,copy,text,NONE,above,search,NONE,"{""text"": ""copy text above the search"", ""labels"": {""intent"": ""copy"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""above"", ""spatial_reference"": ""search"", ""position"": ""NONE""}}",val
click on icon,아이콘 클릭,click,icon,NONE,NONE,NONE,NONE,"{""text"": ""click on icon"", ""labels"": {""intent"": ""click"", ""target_type"": ""icon"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
scroll to the 3rd tab to the right of the address,주소 오른쪽에 스크롤하여 3번째 탭 이동,scroll,tab,NONE,right_of,address,3rd,"{""text"": ""scroll to the 3rd tab to the right of the address"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""tab"", ""attribute"": ""NONE"", ""spatial_relation"": ""right_of"", ""spatial_reference"": ""address"", ""position"": ""3rd""}}",train
click the 2nd text to the left of the search,검색 왼쪽에 2번째 텍스트 클릭,click,text,NONE,left_of,search,2nd,"{""text"": ""click the 2nd text to the left of the search"", ""labels"": {""intent"": ""click"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""search"", ""position"": ""2nd""}}",train
click the 1st icon to the left of the cart,장바구니 왼쪽에 1번째 아이콘 클릭,click,icon,NONE,left_of,cart,1st,"{""text"": ""click the 1st icon to the left of the cart"", ""labels"": {""intent"": ""click"", ""target_type"": ""icon"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""cart"", ""position"": ""1st""}}",train
scroll to pink text,스크롤하여 분홍색 텍스트 이동,scroll,text,pink,NONE,NONE,NONE,"{""text"": ""scroll to pink text"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""text"", ""attribute"": ""pink"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",test
remove button below the settings,settings 아래에  button,delete,button,NONE,below,settings,NONE,"{""text"": ""remove button below the settings"", ""labels"": {""intent"": ""delete"", ""target_type"": ""button"", ""attribute"": ""NONE"", ""spatial_relation"": ""below"", ""spatial_reference"": ""settings"", ""position"": ""NONE""}}",train
trash button to the left of the help,도움말 왼쪽에 버튼 삭제,delete,button,NONE,left_of,help,NONE,"{""text"": ""trash button to the left of the help"", ""labels"": {""intent"": ""delete"", ""target_type"": ""button"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""help"", ""position"": ""NONE""}}",val
press last red text element directly above the last item,last item 위에 red text,click,text,red,above,last item,last,"{""text"": ""press last red text element directly above the last item"", ""labels"": {""intent"": ""click"", ""target_type"": ""text"", ""attribute"": ""red"", ""spatial_relation"": ""above"", ""spatial_reference"": ""last item"", ""position"": ""last""}}",train
tap on switch to the left of the home,홈 왼쪽에 스위치 탭,tap,switch,NONE,left_of,home,NONE,"{""text"": ""tap on switch to the left of the home"", ""labels"": {""intent"": ""tap"", ""target_type"": ""switch"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""home"", ""position"": ""NONE""}}",test
scroll down to tab next to the wi-fi,Wi-Fi 옆에 아래로 스크롤하여 탭 이동,scroll,tab,NONE,next_to,wi-fi,NONE,"{""text"": ""scroll down to tab next to the wi-fi"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""tab"", ""attribute"": ""NONE"", ""spatial_relation"": ""next_to"", ""spatial_reference"": ""wi-fi"", ""position"": ""NONE""}}",train
long-press the 2nd purple icon below the login,로그인 아래에 2번째 보라색 아이콘 long-press,long-press,icon,purple,below,login,2nd,"{""text"": ""long-press the 2nd purple icon below the login"", ""labels"": {""intent"": ""long-press"", ""target_type"": ""icon"", ""attribute"": ""purple"", ""spatial_relation"": ""below"", ""spatial_reference"": ""login"", ""position"": ""2nd""}}",train
select the 1st green text to the left of the wi-fi,Wi-Fi 왼쪽에 1번째 녹색 텍스트 선택,click,text,green,left_of,wi-fi,1st,"{""text"": ""select the 1st green text to the left of the wi-fi"", ""labels"": {""intent"": ""click"", ""target_type"": ""text"", ""attribute"": ""green"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""wi-fi"", ""position"": ""1st""}}",train
tap the 1st checkbox to the right of the login,로그인 오른쪽에 1번째 체크박스 탭,tap,checkbox,NONE,right_of,login,1st,"{""text"": ""tap the 1st checkbox to the right of the login"", ""labels"": {""intent"": ""tap"", ""target_type"": ""checkbox"", ""attribute"": ""NONE"", ""spatial_relation"": ""right_of"", ""spatial_reference"": ""login"", ""position"": ""1st""}}",train
launch pink link to the left of the address,주소 왼쪽에 분홍색 링크 실행,open,link,pink,left_of,address,NONE,"{""text"": ""launch pink link to the left of the address"", ""labels"": {""intent"": ""open"", ""target_type"": ""link"", ""attribute"": ""pink"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""address"", ""position"": ""NONE""}}",train
