command,intent,target,attribute,label,index,relation,reference
delete the tab,delete,tab,yellow,loading,77,above,
delete search_box,delete,search_box,,,61,before,
unpin the slider,unpin,slider,collapsed,sort,5,lower_center,
maybe delete switch,delete,switch,secondary,,30,last_column,
delte ta9,delete,tab,focused,cancel,46,nearest,filter button
launch graph,launch,graph,active,,,top_right,main content
unpin progress_bar,unpin,progress_bar,red,next,50,next_to,
actually close file,close,file,dark,,55,under,
drag on password,drag,password,warning,add,72,bottom_left,
can you paunch tab,launch,tab,focused,,45,right_edge,
long_press the tab,long_press,tab,green,export,23,bottom_left,
just accept the password,accept,password,,profile,81,left_edge,
can you login message,login,message,danger,filter,35,bottom_right,sort button
삭제 아이콘,delete,icon,underlined,search,,bottom_right,
unnin the dialog,unpin,dialog,collapsed,message,,below,
drag switch,drag,switch,light,error,,after,
i think close the blue tab,close,tab,blue,,,above,
please drag card,drag,card,,,,under,cancel button
please submitt camera,submit,camera,active,empty,32,outside,notification panel
can you accept checkbox,accept,checkbox,warning,,55,bottom_right,
please accept gallery,accept,gallery,,,83,last_column,sidebar menu
launch the slider that is bottom_left the upload button,launch,slider,,warning,55,bottom_left,upload button
like submit the dropdown,submit,dropdown,large,filter,36,top_right,
please launch table,launch,table,green,add,,below,
please close image,close,image,warning,,87,before,
please long_press icon,long_press,icon,yellow,submit,71,next_to,
launch dropdown,launch,dropdown,blue,cancel,95,last,
close the gallery,close,gallery,info,,12,top_right,audio player
can you close table,close,table,info,,,next_to,
close search_box,close,search_box,bold,export,,inside,
maybe long_press dialog,long_press,dialog,focused,ok,37,left,
삭제 audio,delete,audio,primary,,28,before,
check phone_number,check,phone_number,large,logout,,second_last,export button
can you unpin audio,unpin,audio,,delete,95,nearest,
maybe check the file,check,file,success,remove,,first_column,sidebar menu
launch dialog,launch,dialog,,retry,9,nearest,cancel button
can you launch progress_bar,launch,progress_bar,red,error,20,second,card list
can you launch search_box,launch,search_box,italic,share,83,farthest,menu button
can you unpin password,unpin,password,italic,,37,second,
login tue calezdar,login,calendar,secondary,,54,first_column,filter button
maybe unpin tab,unpin,tab,highlighted,,0,next_to,
maybe unpin progress_bar,unpin,progress_bar,light,home,10,second,
unjin popup,unpin,popup,secondary,cancel,31,next_to,profile icon
please close icon,close,icon,danger,refresh,91,farthest,
just unpin dialog,unpin,dialog,secondary,password,4,bottom_right,
accept calendar,accept,calendar,,loading,,inside,download button
close slider,close,slider,small,sort,,last,
launch slid3r,launch,slider,disabled,email,70,first_column,
check 체크박스,check,checkbox,red,import,79,above,
unpin the table,unpin,table,,export,27,farthest,header
login on inpu7,login,input,,,92,outside,
close graph,close,graph,small,settings,,farthest,popup
please accept vialog,accept,dialog,highlighted,,,top_right,back button
login popup,login,popup,blue,filter,98,inside,
close the message,close,message,warning,,65,behind,password field
please delete document,delete,document,expanded,,,in_front_of,
dr@g the radio_button,drag,radio_button,light,ok,,first_row,
close notificatiok,close,notification,,,1,first_row,profile icon
accept the image,accept,image,secondary,import,,inside,calendar view
doag the dialog,drag,dialog,light,email,38,farthest,
launch @udio,launch,audio,primary,,76,between,
pl3ase drag tab,drag,tab,,next,41,center,
can you login chart,login,chart,focused,,73,above,
just unpin the text,unpin,text,dark,,6,between,
launch image,launch,image,bold,empty,94,first_column,
can you unpin input,unpin,input,bold,,62,behind,refresh button
please dr@g radio_button,drag,radio_button,,,43,last,
subm1t the file,submit,file,disabled,ok,85,after,
accept gn password,accept,password,,password,84,center,add button
확인하세요 search_box,submit,search_box,,,67,left,
drag on graph,drag,graph,underlined,,32,between,audio player
maybe submit notification,submit,notification,,,28,last,card list
close thc pcssword,close,password,highlighted,home,,third,map view
delete phone_number,delete,phone_number,,export,73,right_edge,
aacept thj camera,accept,camera,,,6,top_right,
login card,login,card,,,20,right_edge,
please login tab,login,tab,blue,message,38,before,image gallery
c|ose the pas5word,close,password,,back,3,first_row,
c@n you unpin calendar,unpin,calendar,primary,cancel,92,below,
accept the gallery,accept,gallery,,,27,top_right,
login thn menu,login,menu,,add,86,last_column,top navigation
please accept popup,accept,popup,bold,profile,,after,address field
please long_press radio_button,long_press,radio_button,,import,48,second,profile icon
launch notificatioy,launch,notification,light,,1,in_front_of,home button
close checkbox,close,checkbox,collapsed,cancel,39,before,
please submit document,submit,document,,,69,center_right,message field
drag the password,drag,password,small,info,92,center,
close calendar,close,calendar,,,73,farthest,
please accept icon,accept,icon,,logout,56,first_row,
지우세요 notification,delete,notification,focused,,,second_last,
accept the link,accept,link,green,,25,bottom_left,
accept the menu,accept,menu,primary,ok,91,behind,
long_pqess the radio_bubton,long_press,radio_button,disabled,profile,9,above,
uh leaf popup,delete,popup,yellow,,25,below,cancel button
just unpin audio,unpin,audio,secondary,,26,first_row,
launch the document,launch,document,primary,,,third,
accept 체크박스,accept,checkbox,,empty,49,second_row,address field
long_press th3 popup,long_press,popup,strikethrough,,94,farthest,
please login slider,login,slider,bold,password,56,first_row,
launch password,launch,password,,,,lower_center,
just accept on tab,accept,tab,,download,15,top_right,remove button
launch phone_number,launch,phone_number,,export,65,second,
pleave delte menu,delete,menu,light,previous,99,left_edge,calendar view
actually launch card,launch,card,red,,11,left,
please close search_box,close,search_box,highlighted,message,51,last,message field
please unpin message,unpin,message,,,65,last,settings button
long_press the progress_bar,long_press,progress_bar,blue,,10,center,
drag on message,drag,message,italic,,21,center,
long_press on phoni_number,long_press,phone_number,,,64,second_last,
launch thd table,launch,table,,previous,,above,
long_press menu,long_press,menu,danger,refresh,25,second_row,audio player
login slider,login,slider,focused,submit,,below,
summit notification,submit,notification,,logout,19,left,calendar view
abcept link,accept,link,,,88,last_column,
l@unch switch,launch,switch,,,67,behind,settings button
long_press card,long_press,card,underlined,,,nearest,main content
i think unpin progress_bar,unpin,progress_bar,,,28,outside,
please login text,login,text,bold,,,behind,video player
can you long_press progr3ss_bar,long_press,progress_bar,light,,,center_right,
launch tab,launch,tab,,filter,,top_right,
check the gallery,check,gallery,,,,center,modal
delet the chart,delete,chart,,register,,last,
unpin password right_edge submit button,unpin,password,,,69,right_edge,submit button
확인하세요 text,submit,text,,upload,31,second,
close the file,close,file,,register,45,bottom_right,
제출 camera,submit,camera,,next,66,farthest,card list
dr@g switch,drag,switch,secondary,search,49,first_column,download button
delete the search_box,delete,search_box,success,export,65,top_right,home button
actually long_press switch,long_press,switch,,,87,farthest,main content
i think unpin table,unpin,table,dark,settings,,third,card list
please long_press calendar,long_press,calendar,blue,,47,nearest,export button
drag 0n file,drag,file,,,58,second_row,
please login radio_button,login,radio_button,,,30,top_right,download button
de1ete fi1e,delete,file,,,82,second_last,
login table,login,table,,,21,center,search bar
can you unpin notification,unpin,notification,,warning,51,first_column,search field
삭제 card,delete,card,,,41,second_last,
please check checkbox,check,checkbox,,,,left_edge,
can you check camera,check,camera,red,,31,right_edge,
uh leaf the camera,delete,camera,danger,,73,lower_center,
launch th1 dropdown,launch,dropdown,,,85,last,
can you accept link,accept,link,danger,cancel,,bottom_right,import button
lau7ch the password,launch,password,,ok,,bottom_right,
please long_press search_box,long_press,search_box,info,empty,39,inside,table view
you know accept calendar,accept,calendar,highlighted,ok,12,in_front_of,
can you summit documeut,submit,document,,,59,behind,
can you submit file,submit,file,,add,18,outside,
check the audio,check,audio,light,delete,4,below,
you know login input,login,input,danger,,,center,
please delete checkbox,delete,checkbox,yellow,previous,7,bottom_left,delete button
actually delete message,delete,message,warning,home,,inside,
close notification,close,notification,green,,,second_last,
summit the document,submit,document,,,,farthest,
please l0ng_press document,long_press,document,,logout,,left,
close the notifica2ion,close,notification,underlined,password,51,center_right,popup
please che9k calendar,check,calendar,,,76,left_edge,
delete card,delete,card,focused,,,outside,main content
can aou long_press message,long_press,message,,cancel,80,last,modal
please deleet popup,delete,popup,small,search,,after,
delete audio,delete,audio,,,27,second_row,
please drag document,drag,document,,home,15,third,upload button
can you check dab,check,tab,,ok,94,above,
ltgin t8e image,login,image,,,,left_edge,
check the message,check,message,,alert,83,farthest,edit button
c@n you long_pr3ss notification,long_press,notification,,,1,last_column,dialog box
please de leaf notification,delete,notification,,,30,first_column,
just long_press tab,long_press,tab,primary,edit,25,after,modal
just submit the camera,submit,camera,,address,83,left_edge,
unpin table,unpin,table,,info,64,left_edge,password field
please login chart,login,chart,,edit,,farthest,
long_pr3ss the dropdown,long_press,dropdown,,,73,in_front_of,
launch on dialog,launch,dialog,,,27,lower_center,delete button
3an you check search_box,check,search_box,primary,,62,next_to,search bar
please delete progress_bar,delete,progress_bar,,edit,32,farthest,header
long_press 아이콘,long_press,icon,,share,29,inside,upload button
cweck notification,check,notification,highlighted,,,before,
please check graph,check,graph,,,,between,
drag graph,drag,graph,large,error,20,nearest,password field
can you close slider,close,slider,,import,38,second,password field
dran checkbox,drag,checkbox,highlighted,,19,outside,
can you unpin link,unpin,link,,,72,next_to,sort button
submit file,submit,file,yellow,,,bottom_left,
unpin calendar,unpin,calendar,small,previous,92,second_last,sort button
can you drag switch,drag,switch,,share,64,right_edge,
subm1t text,submit,text,,,39,outside,
please unpin card,unpin,card,,message,60,third,sort button
de1ete menu,delete,menu,secondary,,6,right_edge,
login 5n progress_bar,login,progress_bar,,,11,next_to,password field
can you check im@ge,check,image,underlined,,54,under,filter button
unpin tbe notification,unpin,notification,bold,notification,96,bottom_right,submit button
delete the dropdown,delete,dropdown,success,,30,center_right,phone field
pleyse doag calendar,drag,calendar,strikethrough,,98,left_edge,
삭제 gallery,delete,gallery,,,,below,
close the card,close,card,highlighted,login,,below,email field
accept imag3,accept,image,focused,,98,under,search bar
acjept search_box,accept,search_box,underlined,next,,bottom_right,
c|ose remove,close,image,,remove,63,left,
accept progress_bar,accept,progress_bar,,,73,nearest,
dbag camera,drag,camera,small,download,77,second_last,
drag isage,drag,image,,,46,last,delete button
please long_press menu,long_press,menu,,,91,below,
unuin the radio0button,unpin,radio_button,small,empty,24,bottom_right,popup
i think can you check search_box,check,search_box,,,,between,
accept the checkbox,accept,checkbox,small,save,72,under,
i think can you login graph,login,graph,,edit,60,next_to,share button
ch6ck gallery,check,gallery,,,40,center_right,menu button
submi7 the search_box,submit,search_box,secondary,remove,,before,
please 6ogin notification,login,notification,red,,95,second_row,
drqg the file,drag,file,,,25,farthest,
please unpin chart,unpin,chart,,add,,last,
maybe drag notification,drag,notification,secondary,edit,46,outside,
can you accept radio_button,accept,radio_button,highlighted,,7,between,
can you close dropdown,close,dropdown,danger,remove,67,after,popup
delete the phone_number,delete,phone_number,,,98,above,chart view
login on card,login,card,dark,next,,second_last,
summit text,submit,text,collapsed,email,,above,
unpin the slid3r,unpin,slider,,,2,center_right,
can you long_press radio_button,long_press,radio_button,italic,,84,center,
check the menu,check,menu,highlighted,,58,last,
please drag image,drag,image,yellow,phone,36,bottom_left,
delete slider,delete,slider,small,address,,first_row,settings button
drug slider,drag,slider,small,refresh,84,left,
unpin gallery,unpin,gallery,large,settings,80,second_last,
please unpin phone_number,unpin,phone_number,bold,,72,last_column,
unpin the calendar,unpin,calendar,dark,,15,under,table view
launch notification,launch,notification,light,,51,second_row,
close on search_box,close,search_box,,confirm,54,below,
c7ose phone_number,close,phone_number,,save,7,first_column,video player
submitt the cars,submit,card,,delete,30,below,
actually check the camera,check,camera,underlined,,,after,
like drag radio_button,drag,radio_button,collapsed,refresh,97,center,edit button
ackept table,accept,table,info,,83,bottom_right,
pleas3 unpin search_box,unpin,search_box,,message,0,nearest,
just delete image,delete,image,,,61,last_column,email field
check message,check,message,active,,6,last_column,save button
you know delete the calendar,delete,calendar,warning,password,,next_to,calendar view
please drag checkbox,drag,checkbox,yellow,,55,last,
지우세요 link,delete,link,collapsed,,20,second_last,main content
long_press search_box,long_press,search_box,italic,,83,next_to,map view
can you check chart,check,chart,,import,73,outside,
long_press the sw5tch,long_press,switch,italic,retry,36,second_last,video player
can you check popup,check,popup,success,search,32,second,refresh button
accept document,accept,document,bold,,,bottom_right,edit button
can you long_press icon,long_press,icon,strikethrough,save,42,after,
losin the docjment,login,document,,,,behind,
you know check the phone_number,check,phone_number,strikethrough,,,first_column,sidebar menu
de1ete progr5ss_bar,delete,progress_bar,,delete,8,last,import button
6lose notification,close,notification,small,,66,lower_center,image gallery
close progress_bar,close,progress_bar,,export,63,second_row,refresh button
login on dialog,login,dialog,red,,90,above,
close card,close,card,,previous,,before,
submi7 ihe notification,submit,notification,bold,,74,bottom_right,
please drag t@b,drag,tab,focused,delete,67,nearest,
please check notification,check,notification,,,74,outside,upload button
check on slider,check,slider,,,,last,
loqin file,login,file,green,home,17,center,
actually can you login file,login,file,,submit,,farthest,
please login card,login,card,primary,,0,next_to,
제출 radio_button,submit,radio_button,secondary,,,nearest,
you know close message,close,message,highlighted,,22,outside,sort button
login the primary image,login,image,primary,,84,first_column,
maybe launch the document,launch,document,,logout,12,second,
djag the calendar,drag,calendar,warning,save,,first_row,
check the popup,check,popup,,error,36,second_last,header
pl4ase delet prozress_bar,delete,progress_bar,warning,,85,under,
can you accept message,accept,message,,,53,center_right,
like long_press the switch,long_press,switch,light,,,second_row,
accept menu,accept,menu,,,27,first_row,profile icon
please check text,check,text,,loading,62,in_front_of,popup
launch text,launch,text,disabled,,88,behind,
login search_box,login,search_box,,previous,69,inside,home button
please login image,login,image,red,back,,farthest,
please delete text,delete,text,,,,right_edge,
accept p@ssword,accept,password,small,save,74,below,home button
please submit camera,submit,camera,dark,,,next_to,delete button
launch the switch,launch,switch,expanded,,25,second_last,
maybe please delete slider,delete,slider,red,,,above,phone field
제출 text,submit,text,,import,,top_right,
launch 입력,launch,input,,loading,,left_edge,search bar
please accept text,accept,text,dark,phone,,lower_center,
accemt the message,accept,message,green,message,10,before,
accept chart left map view,accept,chart,italic,,90,left,map view
maybe drag slider,drag,slider,,back,,second_last,
can you submit radio_button,submit,radio_button,,,56,second,
submit the document,submit,document,dark,,54,after,
ple@se long_press icon,long_press,icon,,login,76,after,notification panel
can you unpin dialog,unpin,dialog,,import,21,last,
unpin on icon,unpin,icon,,,,second,
unpin 아이콘,unpin,icon,green,,80,after,
plbase check notification,check,notification,yellow,,16,center,password field
please launch chayt,launch,chart,,,10,lower_center,video player
i think please launch password,launch,password,info,cancel,48,bottom_right,cancel button
you know launch the link,launch,link,,,48,behind,refresh button
close the link,close,link,underlined,settings,34,left,
just drag the search_box,drag,search_box,dark,,20,left,
drag the slider,drag,slider,danger,,27,center,
like please login audio,login,audio,warning,,,third,card list
lo5g_press messa8e,long_press,message,,info,63,second,
accept camera,accept,camera,collapsed,ok,8,bottom_right,remove button
please drag slider,drag,slider,,,21,second,
전송 file,submit,file,active,,,above,profile icon
like please delete password,delete,password,green,success,,center,home button
please check pmpup,check,popup,,,57,bottom_left,home button
지우세요 document,delete,document,,,42,last_column,table view
delete the popup,delete,popup,,,8,last_column,modal
삭제해 message,delete,message,,filter,,outside,
long_press tie table,long_press,table,collapsed,delete,72,after,
can you srag diflog,drag,dialog,,confirm,28,between,
submit on card,submit,card,info,loading,,top_right,
eccept the imput,accept,input,highlighted,info,28,lower_center,
unpin im@ge,unpin,image,strikethrough,,,last,save button
close the dropdown,close,dropdown,red,,63,in_front_of,
uh leaf radio_button,delete,radio_button,highlighted,ok,23,in_front_of,notification panel
please login notification,login,notification,,,,right_edge,filter button
maybe please long_press card,long_press,card,,,,first_row,
확인하세요 radio_button,submit,radio_button,,upload,38,outside,search field
pl3ase check slider,check,slider,,,52,lower_center,
please check 6rogress_bar,check,progress_bar,secondary,address,41,bottom_right,password field
loain the 7ropdown,login,dropdown,,settings,,above,
unpin link,unpin,link,,settings,59,center,popup
can you drag graph,drag,graph,small,cancel,,left_edge,sidebar menu
can yju launch audio,launch,audio,,,74,farthest,
long_press calendur,long_press,calendar,danger,notification,8,between,
please accept link,accept,link,,,11,nearest,table view
pl2ase launch progress_bar,launch,progress_bar,collapsed,,,center,
uh leaf calendar,delete,calendar,large,add,0,first_column,import button
unpin on search_box,unpin,search_box,,address,,behind,search field
delete radio_button,delete,radio_button,,,,right_edge,
close graoh,close,graph,light,filter,,right_edge,
check on popup,check,popup,disabled,cancel,21,second,
subm1t notification,submit,notification,warning,,,bottom_left,import button
can you delete input,delete,input,focused,error,74,second,
long_press submit,long_press,menu,,submit,51,after,
long_press the small camera,long_press,camera,small,,17,outside,
delete the graph,delete,graph,active,,77,farthest,notification panel
launch the password,launch,password,,,29,first_column,main content
de leaf dropdown,delete,dropdown,,,97,last_column,main content
launch the grap7,launch,graph,,share,94,last,
please drag password,drag,password,danger,share,58,nearest,
unpin camera,unpin,camera,info,,86,left,
sccept radio_bxtton,accept,radio_button,collapsed,,,last_column,
drag file,drag,file,active,import,20,top_right,
long_press the image,long_press,image,active,notification,,after,submit button
delte the card,delete,card,,,17,first_row,download button
drag chart,drag,chart,,,,farthest,
long_press the pagsword,long_press,password,,,90,top_right,
alease accept graph,accept,graph,expanded,,19,below,
launch table,launch,table,,info,0,second_last,
drag the icon,drag,icon,green,,86,above,
close chart,close,chart,focused,cancel,46,last_column,remove button
please long_press phone_number,long_press,phone_number,collapsed,,,below,settings button
chkck the documemt,check,document,strikethrough,,43,next_to,
지우세요 camera,delete,camera,,,86,right_edge,
login on calendar,login,calendar,,,,first_column,
drag the popup,drag,popup,light,,86,before,
can you check ranio_button,check,radio_button,red,save,54,center,
login menu,login,menu,dark,,55,second_last,footer
check phe icon,check,icon,,,67,second,
please delete icon,delete,icon,,register,21,above,
like unpin graph,unpin,graph,,,11,inside,
please unpin search_box,unpin,search_box,,,24,outside,
please launch search_box,launch,search_box,light,,85,left,
adcept tme checkbox,accept,checkbox,,,,second_row,
uh leaf the gallery,delete,gallery,underlined,,,last_column,
please login gallery,login,gallery,red,previous,32,last_column,
like can you launch message,launch,message,,sort,0,second,
삭제해 table,delete,table,,login,,between,save button
delte lard,delete,card,,settings,,center_right,
i think long_press checkbox,long_press,checkbox,primary,,2,nearest,
aaunch the phone_nuqber,launch,phone_number,focused,,,bottom_left,filter button
long_press the file,long_press,file,,,,left,
login the image,login,image,secondary,,75,second,
like launch the camera,launch,camera,disabled,remove,96,before,
c1o5e the checkbox,close,checkbox,,,,after,export button
check chart,check,chart,large,add,38,above,
drag link,drag,link,,,68,next_to,
check the search_box,check,search_box,,previous,15,second_last,video player
you know close tab,close,tab,,phone,19,after,home button
launch 체크박스,launch,checkbox,,import,,lower_center,
acce2t the text,accept,text,large,notification,88,second_last,sidebar menu
please submi7 camera,submit,camera,small,,63,left_edge,filter button
launch th0 table,launch,table,active,settings,,nearest,
summit radio_bmtton,submit,radio_button,,,19,first_column,
can you login camera,login,camera,dark,,38,bottom_right,audio player
can you drag dialog,drag,dialog,primary,,59,top_right,add button
actually drag link,drag,link,,,10,second,header
제출 card,submit,card,info,info,,below,audio player
login the chart,login,chart,italic,add,72,before,
clese wrogress_bar,close,progress_bar,dark,,,below,
like delete the graph,delete,graph,,,7,second,
erag the tab,drag,tab,blue,,,right_edge,add button
accept the dialog,accept,dialog,bold,,,in_front_of,
i think submit camera,submit,camera,large,,37,top_right,export button
지우세요 radio_button,delete,radio_button,light,,85,left,sidebar menu
check the tab,check,tab,,,98,left,
please accept progress_bar,accept,progress_bar,info,phone,53,first_row,
can you check slider,check,slider,italic,,83,nearest,dialog box
close the progress_bar,close,progress_bar,red,loading,60,bottom_right,
ple@se drag t@ble,drag,table,disabled,,69,left,
long_press the card,long_press,card,green,home,,second_last,
you know please check checkbox,check,checkbox,,,71,after,
long_press dropdown second_row password field,long_press,dropdown,,retry,90,second_row,password field
unpin on popup,unpin,popup,info,next,,bottom_left,edit button
launch the progress_bar,launch,progress_bar,,,,bottom_left,
long_press document,long_press,document,,save,18,behind,main content
login 입력,login,input,,,24,behind,search bar
please drag dropdown,drag,dropdown,green,,8,right_edge,
login image,login,image,,,58,first_column,refresh button
just please login file,login,file,,empty,,left,
please long_press message,long_press,message,warning,,21,last,filter button
de leaf switch,delete,switch,,notification,,nearest,header
ch8ck on tab,check,tab,secondary,,79,lower_center,
can you check tab,check,tab,small,edit,,behind,phone field
uh leaf the file,delete,file,,message,,between,
close 아이콘,close,icon,,,24,bottom_left,
please dral dialog,drag,dialog,dark,,76,between,search bar
submitt the camera,submit,camera,highlighted,,15,first_row,refresh button
please c1o5e audio,close,audio,,,50,bottom_right,
c1o5e card,close,card,dark,login,73,right_edge,export button
지우세요 체크박스,delete,checkbox,italic,login,0,second,
accepm o9 dialog,accept,dialog,,,0,bottom_right,
please submit notification,submit,notification,,,73,in_front_of,
submit card,submit,card,secondary,filter,42,in_front_of,search bar
long_press the audio,long_press,audio,dark,,99,before,delete button
can you launch menu,launch,menu,dark,,73,behind,
login 체크박스,login,checkbox,info,,,second_row,
삭제 table,delete,table,,ok,94,farthest,
long_press the link,long_press,link,italic,profile,,below,calendar view
can you launch text,launch,text,collapsed,,12,first_row,
delete file,delete,file,italic,success,,under,
just login the image,login,image,,,89,left,
accept the radio0button,accept,radio_button,success,,,next_to,
like check file,check,file,focused,empty,88,between,image gallery
drag the dropdopn,drag,dropdown,light,ok,,between,
accept the tab,accept,tab,,cancel,,before,
check on image,check,image,expanded,,,left_edge,
login noxification,login,notification,red,,66,right_edge,
please unpin icon,unpin,icon,disabled,,88,second_last,add button
i think long_press the password,long_press,password,green,search,,last,home button
can you check documen7,check,document,,,,inside,password field
i think please check camera,check,camera,info,,41,farthest,
please launch chart,launch,chart,yellow,remove,27,inside,
please clo5e menu,close,menu,large,search,74,under,cart icon
submit document,submit,document,,message,,farthest,
long_press on chart,long_press,chart,,delete,68,right_edge,share button
long_press chart,long_press,chart,green,,17,under,popup
lngin the dialog,login,dialog,red,,,farthest,edit button
accept on calendar,accept,calendar,strikethrough,import,,right_edge,address field
delete the message,delete,message,,,30,inside,
accept t1e slider that is labt nhe search b8r,accept,slider,italic,,,last,search bar
please accept password,accept,password,small,address,,above,
close the document,close,document,underlined,search,,next_to,
delte the chart,delete,chart,,info,33,above,chart view
can you check icon,check,icon,green,logout,84,bottom_left,notification panel
제출 file,submit,file,,,62,right_edge,
please accept document,accept,document,,previous,,second_last,
accept the inpu7,accept,input,italic,previous,73,last_column,
