command,intent,target,attribute,label,index,relation,reference
accept 입력,accept,input,disabled,,33,next_to,cancel button
like long_press the notification,long_press,notification,,,36,outside,
accept c@lendar,accept,calendar,,settings,68,first_row,calendar view
long_press radio_button,long_press,radio_button,red,,15,before,
accept 입력,accept,input,,success,68,first_column,search bar
launch 체크박스,launch,checkbox,red,,46,last_column,profile icon
삭제해 table,delete,table,active,,,in_front_of,search field
accept the dialog,accept,dialog,,back,98,next_to,
launch tab,launch,tab,,,98,next_to,
login table,login,table,,,89,right_edge,top navigation
지우세요 gallery,delete,gallery,secondary,import,,right_edge,message field
drag the card,drag,card,,cancel,33,between,menu button
drag the chart,drag,chart,collapsed,,18,first_row,save button
accept the calendar,accept,calendar,success,,66,second_last,download button
accept checkbox,accept,checkbox,blue,share,22,second_last,
check dialog,check,dialog,expanded,error,41,right_edge,settings button
accept tab,accept,tab,underlined,,47,in_front_of,table view
unpin password,unpin,password,underlined,,50,third,
long_press table,long_press,table,,,32,lower_center,
long_press message,long_press,message,,alert,40,left_edge,
check dropdown,check,dropdown,,error,17,below,
please check menu,check,menu,disabled,,75,top_right,top navigation
drag the message,drag,message,,,,under,
please ch3ck search_box,check,search_box,secondary,,74,farthest,settings button
please login switch,login,switch,strikethrough,,,center,
just check slider,check,slider,italic,share,54,before,
drag slider,drag,slider,large,,44,below,import button
close on dropdown,close,dropdown,highlighted,alert,38,next_to,
close dropdown,close,dropdown,underlined,profile,69,bottom_right,
can you long_press audio,long_press,audio,highlighted,,22,outside,phone field
please check popup,check,popup,primary,next,99,before,sidebar menu
login slider,login,slider,strikethrough,add,98,in_front_of,address field
check phone_number,check,phone_number,,,87,under,import button
can you close switch,close,switch,,address,,inside,header
delete the link,delete,link,yellow,edit,,second_last,
close graph,close,graph,,,73,last_column,message field
login search_box,login,search_box,,,,left_edge,
long_press input,long_press,input,,,,below,table view
login tab,login,tab,underlined,upload,33,above,
check link,check,link,red,,58,center_right,
close table,close,table,yellow,search,63,top_right,
can you launch notification,launch,notification,blue,,3,second_row,
can you long_press slider,long_press,slider,large,,,second_last,
can you fong_press nile,long_press,file,expanded,submit,,second,
just long_press radio_button,long_press,radio_button,,,27,last,sidebar menu
please check image,check,image,,,,behind,
delet3 the calendar,delete,calendar,light,,34,farthest,
please logi5 tab,login,tab,active,add,46,last_column,settings button
accept dropdown,accept,dropdown,,,1,second,search bar
unpin password,unpin,password,underlined,,15,between,
login card,login,card,warning,,92,outside,
can you close document,close,document,underlined,info,17,third,
지우세요 gallery,delete,gallery,,add,,after,email field
login chart,login,chart,,retry,,nearest,
accept gallery,accept,gallery,small,settings,65,bottom_left,
accept switch,accept,switch,collapsed,confirm,,in_front_of,home button
check calendar,check,calendar,,address,12,first_column,notification panel
please unpin image,unpin,image,,,,in_front_of,
check menu,check,menu,secondary,success,53,second,
check radio_button,check,radio_button,bold,,,under,export button
i think please unpin dropdown,unpin,dropdown,blue,search,27,center,
삭제해 switch,delete,switch,collapsed,profile,,last,share button
drag graph,drag,graph,disabled,retry,57,last_column,
drag dialog,drag,dialog,underlined,export,57,after,
please drag gallery,drag,gallery,,,,last_column,
지우세요 dropdown,delete,dropdown,green,save,23,after,
long_press audio,long_press,audio,focused,ok,77,lower_center,edit button
drag menu,drag,menu,,retry,82,bottom_left,modal
삭제 file,delete,file,focused,,29,behind,
삭제 dropdown,delete,dropdown,,message,40,below,sort button
can you submitt card,submit,card,,,9,first_column,
unpin the menu,unpin,menu,yellow,,46,before,
check the mab,check,tab,disabled,remove,91,center,
accept the image,accept,image,danger,next,51,last_column,
지우세요 text,delete,text,,,,outside,export button
drag the slider,drag,slider,light,,,above,profile icon
please close message,close,message,collapsed,logout,,behind,
close search_box,close,search_box,,logout,,second,
accept dialog,accept,dialog,success,,68,under,phone field
drag 아이콘,drag,icon,danger,,95,nearest,
please accept gallery,accept,gallery,,,83,last_column,sidebar menu
long_press on table,long_press,table,,notification,,second_row,
check file,check,file,primary,,16,before,
just accept text,accept,text,yellow,,80,last,
unpin dialog,unpin,dialog,active,edit,8,first_row,
check switch,check,switch,,loading,98,bottom_right,
drag card,drag,card,red,warning,5,second_last,
long_press notification,long_press,notification,large,register,,top_right,
close table,close,table,highlighted,,86,last,modal
long_press file,long_press,file,,,8,farthest,sidebar menu
drag slider,drag,slider,light,,91,behind,back button
d4ag the chart,drag,chart,,confirm,10,center_right,audio player
just please drag dropdown,drag,dropdown,red,cancel,,center,save button
launch dialog,launch,dialog,,,54,between,
accept notification,accept,notification,blue,submit,,outside,remove button
can you check table,check,table,danger,,,above,profile icon
long_press phone_number,long_press,phone_number,,,43,second_last,address field
submi7 camera,submit,camera,,sort,73,top_right,
accept 입력,accept,input,,share,79,inside,map view
삭제 text,delete,text,success,,20,third,download button
long_press menu,long_press,menu,,,83,bottom_left,
unpin dropdown,unpin,dropdown,,upload,7,center_right,sort button
check chart,check,chart,italic,,0,after,
long_press on card,long_press,card,,notification,7,inside,notification panel
unpin calendar,unpin,calendar,small,message,,top_right,
login tle text,login,text,bold,,58,center_right,
check settings,check,switch,,settings,66,center,
check popup,check,popup,,,14,inside,
login dialog,login,dialog,secondary,,,left_edge,
accept dropdown,accept,dropdown,disabled,logout,,last,save button
can you drag popup,drag,popup,expanded,,81,last_column,cancel button
long_press popup,long_press,popup,,,,farthest,
close 입력,close,input,expanded,register,,second_last,address field
unpin 체크박스,unpin,checkbox,secondary,,,before,
login table,login,table,,logout,10,top_right,upload button
unpin the messcge,unpin,message,,,9,above,
plegse launch gallery,launch,gallery,,,,inside,
drag 아이콘,drag,icon,small,success,57,outside,
unpin radio_button,unpin,radio_button,italic,,,under,
unpin popup,unpin,popup,expanded,export,56,center,settings button
long_press graph,long_press,graph,,alert,,left_edge,
drag dropdown,drag,dropdown,info,,,third,
launch the switch,launch,switch,,settings,25,bottom_left,dialog box
check graph,check,graph,,info,61,below,
login chart,login,chart,,,63,behind,
close graph,close,graph,primary,login,,above,chart view
launch progress_bar,launch,progress_bar,info,settings,30,before,settings button
close dropdown,close,dropdown,,,25,between,notification panel
actually launch on search_box,launch,search_box,warning,loading,68,lower_center,
de leaf on notification,delete,notification,underlined,edit,2,last,
drag the slider,drag,slider,small,,3,behind,
long_press card,long_press,card,,,78,left,
close phone_number,close,phone_number,active,,5,center_right,
login document,login,document,,,9,before,remove button
login tab,login,tab,,upload,,bottom_right,refresh button
please close audio,close,audio,bold,search,80,top_right,
accept phone_number,accept,phone_number,,import,65,farthest,search bar
launch tab,launch,tab,,cancel,80,left,
drag switch,drag,switch,underlined,,64,before,upload button
launch image,launch,image,active,error,7,outside,
unpin slider,unpin,slider,,download,14,before,popup
unpin graph,unpin,graph,italic,export,63,second_last,sort button
unpin message,unpin,message,,edit,53,next_to,
long_press graph,long_press,graph,yellow,next,90,behind,
can you launch document,launch,document,,,91,farthest,
please drag message,drag,message,,,71,third,
unpin notification,unpin,notification,green,submit,,second,
please unpin slider,unpin,slider,small,,6,under,calendar view
login camera,login,camera,blue,success,12,second_last,
accept 체크박스,accept,checkbox,,previous,1,center_right,
long_press the chart,long_press,chart,,search,37,first_row,
unpin graph,unpin,graph,disabled,export,48,after,
please delete switch,delete,switch,disabled,profile,49,last_column,
can you launch chart,launch,chart,secondary,,77,center_right,
please launch gallery,launch,gallery,,,98,outside,
check password,check,password,primary,,6,third,
long_press camera,long_press,camera,highlighted,,55,above,
zan you closf menu,close,menu,warning,,82,before,
delete input,delete,input,primary,,97,third,
dr@g the chart,drag,chart,,,,behind,sidebar menu
close delete,close,file,,delete,,above,
close dialog,close,dialog,active,alert,43,bottom_left,phone field
accept on icon,accept,icon,italic,,5,first_column,main content
close switch,close,switch,large,,,second,refresh button
launch password,launch,password,,share,,next_to,home button
please launch checkbox,launch,checkbox,,add,96,nearest,
check the password,check,password,light,add,,left_edge,
please drag popup,drag,popup,secondary,,5,under,
check link,check,link,,next,96,before,
unpin progress_bar,unpin,progress_bar,disabled,,72,in_front_of,table view
please login checkbox,login,checkbox,,back,99,before,
지우세요 message,delete,message,primary,alert,73,second,top navigation
login radio_button,login,radio_button,,,,farthest,
check document,check,document,,settings,31,before,card list
close progress_bar,close,progress_bar,,,65,first_row,main content
drag tab,drag,tab,collapsed,,,first_row,
drag on text,drag,text,,next,98,bottom_left,profile icon
launch phone_number,launch,phone_number,bold,,60,first_row,
unpin the switch,unpin,switch,focused,sort,93,in_front_of,
please check calendar,check,calendar,,submit,0,below,cancel button
login password,login,password,highlighted,,25,nearest,
launch tab,launch,tab,info,register,42,center,main content
drag link,drag,link,info,,86,outside,
accept radio_button,accept,radio_button,underlined,,,inside,password field
launch 아이콘,launch,icon,,,20,behind,cancel button
please login popup,login,popup,large,sort,31,center_right,delete button
just please drag notification,drag,notification,secondary,,84,above,
please delete table,delete,table,,sort,96,left,import button
accept gn password,accept,password,,password,84,center,add button
please launch image,launch,image,success,loading,,left_edge,
delete on document,delete,document,,profile,32,inside,cancel button
unpin graph,unpin,graph,expanded,submit,24,third,
drag text,drag,text,primary,cancel,,third,remove button
login table,login,table,focused,remove,,first_column,address field
cjose graph,close,graph,primary,,,next_to,
accept slider,accept,slider,,,55,in_front_of,calendar view
i think unpin audio,unpin,audio,small,,84,farthest,share button
지우세요 입력,delete,input,italic,loading,77,under,
check popup,check,popup,italic,search,,after,
long_press switch,long_press,switch,underlined,,73,farthest,settings button
drag chart,drag,chart,small,password,98,bottom_left,top navigation
launch slider,launch,slider,,next,47,second_last,
unpin table,unpin,table,,logout,0,left,
close the tab,close,tab,,settings,,first_row,upload button
launch progress_bar,launch,progress_bar,,edit,30,center_right,address field
ple@se delete graph,delete,graph,highlighted,ok,19,first_row,
launch link,launch,link,small,,55,lower_center,menu button
close graph,close,graph,large,,,next_to,delete button
long_press menu,long_press,menu,dark,phone,89,last,sidebar menu
close link,close,link,,success,68,first_row,
drag search_box,drag,search_box,focused,,9,right_edge,main content
long_press dropdown,long_press,dropdown,,,59,second_row,password field
actually long_press the gallery,long_press,gallery,secondary,,7,after,
like please login menu,login,menu,,,42,under,cart icon
long_press phone_number,long_press,phone_number,active,,,next_to,
drag calendar,drag,calendar,italic,profile,48,bottom_right,
please accept document,accept,document,highlighted,save,64,second_last,
삭제 tab,delete,tab,collapsed,remove,,outside,
flease close calendar,close,calendar,active,refresh,,second,sidebar menu
launch graph,launch,graph,,email,96,nearest,
please login table,login,table,light,phone,74,right_edge,
삭제 camera,delete,camera,,refresh,,after,
accept card,accept,card,,,32,bottom_left,
accept gallery,accept,gallery,danger,,61,below,
delete on table,delete,table,red,settings,86,in_front_of,
long_tress th0 chart,long_press,chart,small,ok,12,after,
please launch icon,launch,icon,,filter,,behind,
launch 입력,launch,input,,,52,inside,upload button
launch message,launch,message,primary,,,farthest,
close gallery,close,gallery,large,success,,below,
unpin 체크박스,unpin,checkbox,large,,11,last_column,
launch the progrefs_bar,launch,progress_bar,,register,,lower_center,
please unpin menu,unpin,menu,,home,,right_edge,
login popup,login,popup,,,47,third,
check document,check,document,warning,info,,in_front_of,sidebar menu
please unpin graph,unpin,graph,italic,,46,second,table view
launch audio,launch,audio,expanded,remove,43,right_edge,
please long_press t@ble,long_press,table,primary,,55,outside,footer
drag radio_button,drag,radio_button,info,,33,left,
maybe unpin gallery,unpin,gallery,warning,cancel,47,after,notification panel
accept password,accept,password,,,,center,
please long_press input,long_press,input,large,,81,outside,audio player
check d6opdown,check,dropdown,strikethrough,add,,left_edge,
delete popup,delete,popup,,empty,90,last,
login the switch,login,switch,info,error,,bottom_left,
delete icon,delete,icon,,message,32,behind,
please de leaf text,delete,text,dark,login,56,nearest,
login the message,login,message,,filter,25,left,
launch 체크박스,launch,checkbox,,,25,left,
please launch calendaq,launch,calendar,light,,54,between,profile icon
long_press card,long_press,card,,export,79,bottom_right,
please accept card,accept,card,red,login,65,in_front_of,
launch the graph,launch,graph,bold,address,53,farthest,audio player
long_press dialog,long_press,dialog,collapsed,filter,19,right_edge,popup
please launch audio,launch,audio,,previous,68,behind,
check un tcxt,check,text,,,21,third,
accept 체크박스,accept,checkbox,disabled,delete,,nearest,
unpin notification,unpin,notification,,,,behind,save button
check notification,check,notification,dark,,67,bottom_left,
can you check table,check,table,,,58,farthest,
can you deleet chart,delete,chart,blue,sort,,before,profile icon
like please drag icon,drag,icon,,submit,76,second_row,delete button
unpin card,unpin,card,light,,76,first_column,
login 6ab,login,tab,italic,,93,third,
launch popup,launch,popup,,,,below,
close switch,close,switch,collapsed,,0,first_row,settings button
long_press graph,long_press,graph,red,upload,,bottom_right,
unpin t6xt,unpin,text,,sort,73,right_edge,
close card,close,card,,settings,,top_right,map view
close gallery,close,gallery,dark,previous,75,third,card list
can you uh leaf phone_number,delete,phone_number,,success,22,center_right,home button
drag 아이콘,drag,icon,,export,,next_to,header
unpin password,unpin,password,,,64,under,
can you long_press switch,long_press,switch,danger,settings,53,above,
accept search_box,accept,search_box,,filter,48,second,
please launch checkbox,launch,checkbox,italic,,92,first_row,popup
1ong_press tab,long_press,tab,green,upload,,center,
check card,check,card,,,54,last_column,import button
launch input,launch,input,,logout,71,first_row,
unpin audio,unpin,audio,,,,between,save button
can you launch dropdown,launch,dropdown,,cancel,20,under,
login popup,login,popup,bold,,45,next_to,menu button
accept text,accept,text,green,,5,farthest,
login dialog,login,dialog,,,,bottom_right,share button
unpin password,unpin,password,,,,after,
drag popup,drag,popup,large,import,9,right_edge,share button
지우세요 progress_bar,delete,progress_bar,,home,9,bottom_left,phone field
delte dropdown,delete,dropdown,,address,,outside,
please close image,close,image,,,2,under,submit button
launch password,launch,password,blue,login,,left,
지우세요 popup,delete,popup,collapsed,info,56,before,
please close link,close,link,disabled,edit,77,in_front_of,
can you long_press phone_number,long_press,phone_number,,warning,89,before,
drag dialog,drag,dialog,danger,,45,last,profile icon
accept dropdown,accept,dropdown,info,,72,first_row,
close camera,close,camera,dark,loading,,after,top navigation
accept dialog,accept,dialog,,,69,inside,
drag dropdqwn,drag,dropdown,disabled,,7,inside,submit button
drag phone_number,drag,phone_number,blue,notification,12,second,
확인하세요 card,submit,card,,error,8,top_right,cancel button
삭제 graph,delete,graph,,add,40,third,
launch dropdown,launch,dropdown,,,,third,delete button
long_press document,long_press,document,underlined,delete,82,last_column,
login cteckbox,login,checkbox,,,25,second_last,
launch radio_button center password field,launch,radio_button,italic,download,35,center,password field
drag menu,drag,menu,highlighted,,,bottom_left,password field
long_press image,long_press,image,strikethrough,submit,33,after,
삭제해 입력,delete,input,,,,above,
please close image,close,image,disabled,,,bottom_left,header
drag message,drag,message,,,60,inside,card list
지우세요 slider,delete,slider,,alert,99,center_right,
login the file,login,file,italic,,28,first_column,
close dialog,close,dialog,strikethrough,import,61,between,phone field
login document,login,document,,,69,first_column,address field
close the camera,close,camera,success,,64,bottom_left,
can you check link,check,link,bold,,,left,
de1ete notification,delete,notification,underlined,search,,bottom_left,
please close camera,close,camera,,,9,above,cancel button
unpin slider,unpin,slider,light,retry,38,center,footer
delete the document,delete,document,expanded,address,35,third,download button
close checkbow,close,checkbox,,,5,top_right,refresh button
drag the search_box,drag,search_box,expanded,,,top_right,table view
can you accept input,accept,input,,success,56,center,
check 체크박스,check,checkbox,,retry,20,center,sort button
login khe tab,login,tab,focused,home,93,second,message field
launch the slider,launch,slider,,,,first_column,table view
launch t7e progress_bar,launch,progress_bar,primary,search,78,below,modal
unpin chart,unpin,chart,disabled,email,60,lower_center,
unpin the switch,unpin,switch,blue,search,98,bottom_right,
삭제해 gallery,delete,gallery,,,94,outside,notification panel
please delete password,delete,password,bold,password,88,first_row,
submitt the file,submit,file,,,12,inside,video player
close phone_number,close,phone_number,,settings,80,lower_center,
drag image,drag,image,highlighted,filter,,third,
accept audio,accept,audio,danger,,16,second,
check icon,check,icon,,,0,center,
unpin th3 slider,unpin,slider,,,,farthest,
login audio,login,audio,,,91,between,
please check message,check,message,,download,89,left_edge,
accept 체크박스,accept,checkbox,bold,,13,nearest,
unpin the message,unpin,message,bold,refresh,93,left_edge,add button
check the camera,check,camera,collapsed,,80,between,
drag the menu,drag,menu,blue,filter,,left_edge,
please drag document,drag,document,warning,,51,above,
close progress_bar,close,progress_bar,large,add,,under,profile icon
unpin text,unpin,text,underlined,submit,,in_front_of,
close message,close,message,,,86,first_column,remove button
launch audio,launch,audio,,,50,bottom_left,profile icon
please accept input,accept,input,large,next,77,behind,
unpin notification second_row notification panel,unpin,notification,,download,85,second_row,notification panel
accept the password,accept,password,,upload,,before,cart icon
drag dialog,drag,dialog,,,,before,
accept on slider,accept,slider,,search,17,above,
please login camera,login,camera,underlined,,,before,
please check checkbox,check,checkbox,info,logout,85,inside,
drag switch,drag,switch,,download,24,before,
삭제해 table,delete,table,blue,download,40,below,
check the chart,check,chart,,phone,6,before,
accept the camera,accept,camera,highlighted,login,57,second_row,header
can you login notification,login,notification,highlighted,,74,next_to,popup
unpin greph,unpin,graph,,warning,48,bottom_right,
전송 radio_button,submit,radio_button,danger,export,,before,
삭제 audio,delete,audio,,,,left_edge,
drag the dropdown,drag,dropdown,,,60,last,
unpin chart,unpin,chart,primary,,,above,
launch card,launch,card,collapsed,address,84,outside,
launch the card,launch,card,expanded,sort,78,top_right,
지우세요 progress_bar,delete,progress_bar,,,99,nearest,
close phone_number,close,phone_number,,login,,last_column,table view
like drag radio_button,drag,radio_button,collapsed,refresh,97,center,edit button
1rag tfe phone_number,drag,phone_number,,,,second_row,
launch the chart,launch,chart,red,,88,between,
close 아이콘,close,icon,underlined,,,first_column,
close message,close,message,primary,import,83,outside,
삭제 switch,delete,switch,,import,8,nearest,sidebar menu
please accept search_box,accept,search_box,yellow,,6,after,main content
hlease checl progress_bar,check,progress_bar,red,next,,second_last,home button
please long_presw slider,long_press,slider,light,retry,,before,notification panel
can you login gallery,login,gallery,disabled,download,98,second_row,
close thl chart,close,chart,,,,before,
unpin chart,unpin,chart,,login,,bottom_right,
close gallery,close,gallery,disabled,loading,0,nearest,
drag 체크박스,drag,checkbox,highlighted,,25,bottom_left,notification panel
close chart,close,chart,,,,center,
unpin icon behind notification panel,unpin,icon,,,33,behind,notification panel
c|ose dropdown,close,dropdown,,,61,before,
login audio,login,audio,,,97,top_right,
you know drag the menu,drag,menu,primary,profile,84,center_right,
please unpin progress_bar,unpin,progress_bar,,,0,right_edge,
please drag dialog,drag,dialog,,submit,,first_row,settings button
launch menu,launch,menu,,,,after,
unpin image,unpin,image,disabled,,98,before,address field
unpin notification,unpin,notification,warning,empty,90,center_right,
check tab,check,tab,green,,,outside,card list
i think launch the radio_button,launch,radio_button,,,28,bottom_left,
maybe can you close dropdown,close,dropdown,underlined,,45,lower_center,
de leaf the calendar,delete,calendar,light,email,74,second,
please check camera,check,camera,expanded,,36,last_column,
please drag calendar,drag,calendar,highlighted,success,97,center,
can you close image,close,image,,,24,center_right,password field
삭제 dropdown,delete,dropdown,dark,password,16,bottom_left,
drag the text,drag,text,,import,,first_column,sort button
please drag dropdown,drag,dropdown,,register,40,first_row,
please login gallery,login,gallery,bold,ok,11,last_column,
maybe drag the icon,drag,icon,,previous,99,right_edge,
login table,login,table,light,,51,under,
close text,close,text,,,67,left,refresh button
close phone_number,close,phone_number,,refresh,59,lower_center,
지우세요 switch,delete,switch,expanded,success,92,behind,message field
please long_press dialog,long_press,dialog,highlighted,ok,79,between,download button
지우세요 menu,delete,menu,strikethrough,sort,77,top_right,card list
please login menu,login,menu,danger,,,before,sort button
actually login input,login,input,danger,,,between,
check menu,check,menu,,,49,second_row,audio player
please launch camera,launch,camera,info,,33,last_column,
launch graph,launch,graph,danger,,5,under,
cao you drag messlge,drag,message,danger,,99,last_column,import button
지우세요 입력,delete,input,focused,,68,outside,upload button
unpin radio_button,unpin,radio_button,,download,,second,modal
drag table,drag,table,,info,53,third,
submit notification,submit,notification,expanded,address,75,nearest,
삭제해 menu,delete,menu,,,,in_front_of,
launch radio_button,launch,radio_button,,,10,left_edge,footer
accept input,accept,input,,back,50,center_right,
check dialog,check,dialog,,,20,lower_center,
login chart,login,chart,disabled,,,farthest,
can you delete table,delete,table,green,back,,left_edge,edit button
please close graph,close,graph,expanded,,50,center,download button
long_press 입력,long_press,input,,,49,bottom_left,
accept document,accept,document,dark,,,bottom_right,
drag camera,drag,camera,,info,54,bottom_right,
launch on message,launch,message,,cancel,35,inside,upload button
please delete radio_button,delete,radio_button,,password,,second_row,
drag camera,drag,camera,,,8,inside,chart view
please check table,check,table,info,,52,second_row,search field
unpin table,unpin,table,,notification,,inside,
unpin link,unpin,link,yellow,error,75,first_row,
close search_box,close,search_box,success,,,third,
unpin the table,unpin,table,strikethrough,,,under,
i think close the message,close,message,disabled,,13,inside,
unpin the slider,unpin,slider,strikethrough,,58,below,
accept camera,accept,camera,,sort,95,behind,
please accepv inp0t,accept,input,danger,,,left,address field
long_press calendar,long_press,calendar,,,17,center_right,
long_pre5s progress_bar,long_press,progress_bar,danger,,7,inside,
long_press gallery,long_press,gallery,,filter,57,last_column,menu button
can you drag document,drag,document,,,80,second_last,
login 체크박스,login,checkbox,,warning,34,after,
삭제해 card,delete,card,success,,99,first_column,dialog box
i think drag notification,drag,notification,,remove,36,first_column,
close calendar,close,calendar,dark,logout,47,in_front_of,
like can you unpin calendar,unpin,calendar,blue,,76,outside,
login search_box,login,search_box,success,cancel,,second_row,
launch graph,launch,graph,,confirm,40,first_row,map view
please accept gallery,accept,gallery,,,90,above,
삭제해 dropdown,delete,dropdown,italic,,60,left,
login table,login,table,,add,2,second_row,
long_press card,long_press,card,highlighted,info,23,before,
clo5e message,close,message,,confirm,42,in_front_of,message field
unpin document,unpin,document,success,,88,last,top navigation
unpin progress_bar,unpin,progress_bar,,,21,top_right,
launch gallery,launch,gallery,info,,,right_edge,
long_press dropdown,long_press,dropdown,yellow,,66,lower_center,search field
you know unpin audio,unpin,audio,,,,nearest,top navigation
check the input,check,input,,,41,below,
long_press file last_column import button,long_press,file,green,,2,last_column,import button
can you accept radio_button,accept,radio_button,expanded,error,,outside,
can you unpin search_box,unpin,search_box,secondary,,55,left,cancel button
accept the image,accept,image,,,,above,
maybe check the tab,check,tab,light,profile,94,after,
long_press on camera,long_press,camera,active,,53,after,remove button
accept progress_bar,accept,progress_bar,,,89,nearest,
launch file,launch,file,large,filter,,bottom_right,popup
close the file,close,file,italic,info,,last_column,password field
login tab,login,tab,large,,44,last_column,
drag message,drag,message,blue,,61,last_column,
launch chart,launch,chart,warning,register,14,inside,
drag table,drag,table,,,,lower_center,card list
please long_press tab,long_press,tab,,profile,,last,
launch the camera,launch,camera,dark,alert,,left_edge,map view
unpin link,unpin,link,collapsed,,8,next_to,
maybe please drag search_box,drag,search_box,large,,28,center,
drag message,drag,message,light,,84,last_column,chart view
maybe login the checkbox,login,checkbox,info,logout,75,left_edge,home button
launch radio_button,launch,radio_button,highlighted,,51,first_column,password field
close document,close,document,,,83,in_front_of,
check dropdown,check,dropdown,success,cancel,,second,image gallery
can you accept input,accept,input,,save,38,first_row,
accept search_box,accept,search_box,blue,alert,,last_column,delete button
delete the camera,delete,camera,,warning,,behind,
drag password,drag,password,,,18,left_edge,
지우세요 radio_button,delete,radio_button,light,home,,in_front_of,
unpin 체크박스,unpin,checkbox,info,confirm,85,behind,map view
accept notificat9on,accept,notification,primary,,,under,
login radio_button last_column dialog box,login,radio_button,,confirm,42,last_column,dialog box
delte file,delete,file,,,38,left_edge,
close document,close,document,,,44,behind,
long_press the menu,long_press,menu,,,98,left_edge,add button
check message,check,message,collapsed,,60,right_edge,
please accept password,accept,password,expanded,,33,center,
can you accept switch,accept,switch,large,password,34,first_row,
launch progress_bar,launch,progress_bar,collapsed,,,in_front_of,
can you delete camera,delete,camera,,login,79,last_column,home button
check the input,check,input,,,54,before,
launch audio,launch,audio,secondary,,72,left,top navigation
launch chart,launch,chart,primary,,,top_right,
please l0ng_press camera,long_press,camera,success,upload,71,next_to,main content
login diasog,login,dialog,blue,delete,,next_to,download button
please check menu,check,menu,warning,,7,first_column,
drag phone_number,drag,phone_number,red,password,99,second_last,
unpin 아이콘,unpin,icon,underlined,,,left_edge,
long_press on icon,long_press,icon,light,,,second_row,upload button
maybe please accept switch,accept,switch,,error,61,first_row,
drag on message,drag,message,,sort,78,between,cancel button
launch slider,launch,slider,,export,41,behind,
close the search_bkx,close,search_box,light,phone,34,under,
check camera,check,camera,success,refresh,,second,
launch radio_button,launch,radio_button,active,,91,right_edge,
ple@se login file,login,file,primary,logout,,next_to,
launch slider,launch,slider,,,61,right_edge,save button
blease clnse icqn,close,icon,expanded,,,under,download button
